"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 08:41:59 UTC 2024","Mon Jan 15 08:42:07 UTC 2024","8028","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Mon Jan 15 08:41:49 UTC 2024","Mon Jan 15 08:41:59 UTC 2024","9981","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Mon Jan 15 08:41:57 UTC 2024","Mon Jan 15 08:42:04 UTC 2024","6661","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Mon Jan 15 08:41:49 UTC 2024","Mon Jan 15 08:41:57 UTC 2024","7845","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
