"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 09:30:20 UTC 2024","Mon Jan 15 09:30:27 UTC 2024","7093","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Mon Jan 15 09:30:28 UTC 2024","Mon Jan 15 09:30:36 UTC 2024","8256","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Mon Jan 15 09:30:30 UTC 2024","Mon Jan 15 09:30:39 UTC 2024","8488","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Mon Jan 15 09:30:20 UTC 2024","Mon Jan 15 09:30:30 UTC 2024","9866","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
