"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 27 02:16:49 UTC 2024","Sat Jan 27 02:16:59 UTC 2024","9728","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sat Jan 27 02:16:59 UTC 2024","Sat Jan 27 02:17:07 UTC 2024","8076","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Sat Jan 27 02:16:59 UTC 2024","Sat Jan 27 02:17:10 UTC 2024","10781","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Sat Jan 27 02:16:49 UTC 2024","Sat Jan 27 02:16:59 UTC 2024","9688","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
