"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 02:24:49 UTC 2024","Wed Apr 10 02:24:56 UTC 2024","6572","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Wed Apr 10 02:24:41 UTC 2024","Wed Apr 10 02:24:49 UTC 2024","8165","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Wed Apr 10 02:24:51 UTC 2024","Wed Apr 10 02:25:00 UTC 2024","8925","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Wed Apr 10 02:24:41 UTC 2024","Wed Apr 10 02:24:51 UTC 2024","10136","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
