"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 02:23:57 UTC 2024","Wed Apr 03 02:24:06 UTC 2024","8778","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Wed Apr 03 02:24:06 UTC 2024","Wed Apr 03 02:24:15 UTC 2024","8325","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Wed Apr 03 02:23:57 UTC 2024","Wed Apr 03 02:24:16 UTC 2024","18541","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Wed Apr 03 02:24:16 UTC 2024","Wed Apr 03 02:24:28 UTC 2024","11574","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
