"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 20 02:22:19 UTC 2024","Wed Mar 20 02:22:27 UTC 2024","7561","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Wed Mar 20 02:22:10 UTC 2024","Wed Mar 20 02:22:19 UTC 2024","8797","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Wed Mar 20 02:22:21 UTC 2024","Wed Mar 20 02:22:32 UTC 2024","11200","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Wed Mar 20 02:22:10 UTC 2024","Wed Mar 20 02:22:21 UTC 2024","10347","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
