"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 04:47:05 UTC 2024","Sun Jan 14 04:47:12 UTC 2024","6210","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Sun Jan 14 04:46:57 UTC 2024","Sun Jan 14 04:47:05 UTC 2024","8130","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sun Jan 14 04:46:57 UTC 2024","Sun Jan 14 04:47:07 UTC 2024","9542","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sun Jan 14 04:47:07 UTC 2024","Sun Jan 14 04:47:15 UTC 2024","7745","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
