"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 18:44:46 UTC 2024","Sun Jan 14 18:44:54 UTC 2024","7898","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Sun Jan 14 18:44:37 UTC 2024","Sun Jan 14 18:44:46 UTC 2024","9230","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sun Jan 14 18:44:37 UTC 2024","Sun Jan 14 18:44:45 UTC 2024","7878","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sun Jan 14 18:44:45 UTC 2024","Sun Jan 14 18:44:52 UTC 2024","6439","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
