"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 14 02:22:43 UTC 2024","Wed Feb 14 02:22:51 UTC 2024","8133","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Wed Feb 14 02:22:31 UTC 2024","Wed Feb 14 02:22:43 UTC 2024","12203","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Wed Feb 14 02:22:39 UTC 2024","Wed Feb 14 02:22:46 UTC 2024","6925","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Wed Feb 14 02:22:31 UTC 2024","Wed Feb 14 02:22:39 UTC 2024","7742","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
