"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 29 02:34:15 UTC 2024","Wed May 29 02:34:23 UTC 2024","8117","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Wed May 29 02:34:23 UTC 2024","Wed May 29 02:34:30 UTC 2024","6891","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Wed May 29 02:34:15 UTC 2024","Wed May 29 02:34:26 UTC 2024","11144","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Wed May 29 02:34:26 UTC 2024","Wed May 29 02:34:37 UTC 2024","10456","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
