"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 03:02:37 UTC 2024","Sun Jan 14 03:02:45 UTC 2024","7982","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sun Jan 14 03:02:45 UTC 2024","Sun Jan 14 03:02:51 UTC 2024","6252","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Sun Jan 14 03:02:47 UTC 2024","Sun Jan 14 03:02:54 UTC 2024","7131","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Sun Jan 14 03:02:37 UTC 2024","Sun Jan 14 03:02:46 UTC 2024","9515","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
