"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 04:03:48 UTC 2024","Sun Jan 14 04:03:55 UTC 2024","7022","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Sun Jan 14 04:03:39 UTC 2024","Sun Jan 14 04:03:48 UTC 2024","8504","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sun Jan 14 04:03:39 UTC 2024","Sun Jan 14 04:03:49 UTC 2024","10002","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sun Jan 14 04:03:49 UTC 2024","Sun Jan 14 04:03:57 UTC 2024","7702","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
