"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 06:37:50 UTC 2024","Mon Jan 15 06:37:58 UTC 2024","8108","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Mon Jan 15 06:37:58 UTC 2024","Mon Jan 15 06:38:04 UTC 2024","5551","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Mon Jan 15 06:37:50 UTC 2024","Mon Jan 15 06:38:02 UTC 2024","11660","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Mon Jan 15 06:38:02 UTC 2024","Mon Jan 15 06:38:14 UTC 2024","12505","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
