"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 06:58:51 UTC 2024","Mon Jan 15 06:58:59 UTC 2024","8517","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Mon Jan 15 06:58:41 UTC 2024","Mon Jan 15 06:58:50 UTC 2024","9049","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Mon Jan 15 06:58:41 UTC 2024","Mon Jan 15 06:58:49 UTC 2024","7749","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Mon Jan 15 06:58:49 UTC 2024","Mon Jan 15 06:58:55 UTC 2024","5586","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
