"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 13 02:16:03 UTC 2024","Sat Apr 13 02:16:13 UTC 2024","9459","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sat Apr 13 02:16:13 UTC 2024","Sat Apr 13 02:16:21 UTC 2024","8331","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Sat Apr 13 02:16:11 UTC 2024","Sat Apr 13 02:16:18 UTC 2024","7134","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Sat Apr 13 02:16:03 UTC 2024","Sat Apr 13 02:16:11 UTC 2024","7607","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
