"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 02 02:20:34 UTC 2024","Sat Mar 02 02:20:51 UTC 2024","17318","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sat Mar 02 02:20:52 UTC 2024","Sat Mar 02 02:21:00 UTC 2024","8790","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Sat Mar 02 02:20:34 UTC 2024","Sat Mar 02 02:20:41 UTC 2024","7302","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sat Mar 02 02:20:41 UTC 2024","Sat Mar 02 02:20:49 UTC 2024","7976","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
