"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 20 02:34:07 UTC 2024","Sat Jul 20 02:34:16 UTC 2024","8659","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Sat Jul 20 02:33:56 UTC 2024","Sat Jul 20 02:34:07 UTC 2024","10520","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sat Jul 20 02:33:56 UTC 2024","Sat Jul 20 02:34:03 UTC 2024","7001","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sat Jul 20 02:34:04 UTC 2024","Sat Jul 20 02:34:12 UTC 2024","7870","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
