"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 17 02:27:02 UTC 2024","Wed Apr 17 02:27:13 UTC 2024","10805","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Wed Apr 17 02:26:45 UTC 2024","Wed Apr 17 02:27:02 UTC 2024","17257","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Wed Apr 17 02:26:54 UTC 2024","Wed Apr 17 02:27:02 UTC 2024","7910","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Wed Apr 17 02:26:45 UTC 2024","Wed Apr 17 02:26:54 UTC 2024","8849","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
