"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 07 02:46:51 UTC 2024","Sat Sep 07 02:46:59 UTC 2024","7780","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Sat Sep 07 02:46:43 UTC 2024","Sat Sep 07 02:46:51 UTC 2024","8052","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sat Sep 07 02:46:54 UTC 2024","Sat Sep 07 02:47:04 UTC 2024","10507","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Sat Sep 07 02:46:43 UTC 2024","Sat Sep 07 02:46:54 UTC 2024","10713","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
