"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 23 02:22:20 UTC 2024","Sat Mar 23 02:22:28 UTC 2024","8211","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Sat Mar 23 02:22:11 UTC 2024","Sat Mar 23 02:22:20 UTC 2024","8998","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sat Mar 23 02:22:11 UTC 2024","Sat Mar 23 02:22:22 UTC 2024","11500","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sat Mar 23 02:22:23 UTC 2024","Sat Mar 23 02:22:31 UTC 2024","8598","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
