"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 12:52:19 UTC 2024","Mon Jan 15 12:52:28 UTC 2024","8216","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Mon Jan 15 12:52:28 UTC 2024","Mon Jan 15 12:52:35 UTC 2024","7565","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Mon Jan 15 12:52:28 UTC 2024","Mon Jan 15 12:52:34 UTC 2024","6307","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Mon Jan 15 12:52:19 UTC 2024","Mon Jan 15 12:52:27 UTC 2024","7835","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
