"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 02:25:22 UTC 2024","Sun Jan 14 02:25:30 UTC 2024","7831","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sun Jan 14 02:25:30 UTC 2024","Sun Jan 14 02:25:50 UTC 2024","20272","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Sun Jan 14 02:25:22 UTC 2024","Sun Jan 14 02:25:31 UTC 2024","9120","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sun Jan 14 02:25:31 UTC 2024","Sun Jan 14 02:25:55 UTC 2024","23688","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
