"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 28 02:23:14 UTC 2024","Wed Feb 28 02:23:24 UTC 2024","9810","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Wed Feb 28 02:23:06 UTC 2024","Wed Feb 28 02:23:14 UTC 2024","8229","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Wed Feb 28 02:23:05 UTC 2024","Wed Feb 28 02:23:18 UTC 2024","12278","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Wed Feb 28 02:23:19 UTC 2024","Wed Feb 28 02:23:29 UTC 2024","10212","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
