"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 16 15:10:44 UTC 2024","Tue Jan 16 15:10:53 UTC 2024","8636","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Tue Jan 16 15:10:53 UTC 2024","Tue Jan 16 15:11:00 UTC 2024","6849","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Tue Jan 16 15:10:44 UTC 2024","Tue Jan 16 15:10:55 UTC 2024","10349","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Tue Jan 16 15:10:55 UTC 2024","Tue Jan 16 15:11:04 UTC 2024","8718","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
