"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 28 01:57:24 UTC 2024","Sun Jan 28 01:57:35 UTC 2024","10642","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Sun Jan 28 01:57:15 UTC 2024","Sun Jan 28 01:57:24 UTC 2024","9388","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sun Jan 28 01:57:23 UTC 2024","Sun Jan 28 01:57:30 UTC 2024","7697","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Sun Jan 28 01:57:15 UTC 2024","Sun Jan 28 01:57:23 UTC 2024","7618","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
