"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 13:01:43 UTC 2024","Mon Jan 15 13:02:05 UTC 2024","21623","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Mon Jan 15 13:01:35 UTC 2024","Mon Jan 15 13:01:43 UTC 2024","7925","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Mon Jan 15 13:01:35 UTC 2024","Mon Jan 15 13:01:45 UTC 2024","9407","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Mon Jan 15 13:01:45 UTC 2024","Mon Jan 15 13:02:06 UTC 2024","21087","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
