"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 22 02:31:47 UTC 2024","Sat Jun 22 02:31:55 UTC 2024","7563","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Sat Jun 22 02:31:36 UTC 2024","Sat Jun 22 02:31:47 UTC 2024","10782","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sat Jun 22 02:31:47 UTC 2024","Sat Jun 22 02:31:58 UTC 2024","10762","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Sat Jun 22 02:31:36 UTC 2024","Sat Jun 22 02:31:47 UTC 2024","10910","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
