"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 04 02:24:51 UTC 2024","Sat May 04 02:25:00 UTC 2024","9774","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sat May 04 02:25:01 UTC 2024","Sat May 04 02:25:10 UTC 2024","9485","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Sat May 04 02:24:51 UTC 2024","Sat May 04 02:24:59 UTC 2024","8196","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sat May 04 02:24:59 UTC 2024","Sat May 04 02:25:07 UTC 2024","7772","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
