"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 02:26:17 UTC 2024","Wed Apr 24 02:26:29 UTC 2024","12205","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Wed Apr 24 02:26:30 UTC 2024","Wed Apr 24 02:26:37 UTC 2024","7751","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Wed Apr 24 02:26:17 UTC 2024","Wed Apr 24 02:26:27 UTC 2024","10029","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Wed Apr 24 02:26:27 UTC 2024","Wed Apr 24 02:26:37 UTC 2024","9193","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
