"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 02:33:31 UTC 2024","Wed Jun 05 02:33:41 UTC 2024","10232","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Wed Jun 05 02:33:41 UTC 2024","Wed Jun 05 02:33:51 UTC 2024","9856","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Wed Jun 05 02:33:39 UTC 2024","Wed Jun 05 02:33:47 UTC 2024","7370","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Wed Jun 05 02:33:31 UTC 2024","Wed Jun 05 02:33:39 UTC 2024","8196","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
