"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 06:31:21 UTC 2024","Mon Jan 15 06:31:28 UTC 2024","6712","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Mon Jan 15 06:31:28 UTC 2024","Mon Jan 15 06:31:35 UTC 2024","6744","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Mon Jan 15 06:31:30 UTC 2024","Mon Jan 15 06:31:38 UTC 2024","8023","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Mon Jan 15 06:31:21 UTC 2024","Mon Jan 15 06:31:30 UTC 2024","8433","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
