"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 02:33:17 UTC 2024","Sat Jun 08 02:33:28 UTC 2024","10902","","[Mac OS X-chrome] test local:","","[Mac OS X-chrome] test local:","test localhost content","test localhost content",""
"passed","Sat Jun 08 02:33:06 UTC 2024","Sat Jun 08 02:33:17 UTC 2024","10959","","[Mac OS X-chrome] test func:","","[Mac OS X-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"passed","Sat Jun 08 02:33:15 UTC 2024","Sat Jun 08 02:33:21 UTC 2024","6351","","[Windows-chrome] test local:","","[Windows-chrome] test local:","test localhost content","test localhost content",""
"passed","Sat Jun 08 02:33:06 UTC 2024","Sat Jun 08 02:33:14 UTC 2024","7954","","[Windows-chrome] test func:","","[Windows-chrome] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
